维度V,模型名称,MAE,RMSE
0,CHformer（提出模型）,188.0342,258.2493
0,Autoformer,329.9276,423.9666
0,Transformer,271.1098,345.854
0,Informer,230.0386,304.0016
0,LSTM,236.5788,304.7285
0,TCN,544.2162,634.6412
1,CHformer（提出模型）,45.6945,79.0104
1,Autoformer,59.3851,92.1974
1,Transformer,52.9995,86.6267
1,Informer,45.071,84.5423
1,LSTM,49.5286,83.6326
1,TCN,106.0256,145.9169
2,CHformer（提出模型）,101.7028,132.2586
2,Autoformer,120.0744,147.148
2,Transformer,98.767,124.3669
2,Informer,100.8105,125.9388
2,LSTM,96.1977,121.4403
2,TCN,100.7336,125.76
